Available Add Ons with Acquisition,,,
,,,
,Offer Price,Term,Rate Code
Cloud DVR Small,$8 ,12mo.,=U / .0
Cloud DVR Small w/1G or above,$0 ,12mo.,=U / .1
Cloud DVR Plus,$10 ,12mo.,RM / 8(
Cloud DVR Max,$20 ,12mo.,=V / .0
Optimum Voice,$25 ,no term,@U
Total Care,$15 ,no term,^#
Total Care Plus (Total Care + Plus Add on),$20 ,no term,^#    +    .P
Total Care Max (Total Care + Max Add on),$30 ,no term,^#    +    .B
Total Care - Discount (available with all Total Care Tiers),($5),6mo.,)=
Total Care Plus Discount - Move Transfers Only,($10),3mo.,BW
Total Care - Discount (available with Total Care Max Only),($10),6mo.,U=
Whole Home WiFi - Discount,($5),6mo.,*.
$1 STARZ/Encore Promo 12 mo. (rolls to $10.99 @ month 13; not available with Basic or Entertainment TV),$1 ,12mo.,1S
,,,
Optimum Mobile - Full Rate,,,
Optimum Mobile 1G,$15 ,no term,
Optimum Mobile Unlimited,$45 ,no term,
Optimum Mobile Unlimited Max,$55 ,no term,
