Label ID,Segment,Clusters,"Market
Type","Market Area 
(Segments in Grey are for possible future use)",Offer,Speed,Term,Tracker,Internet Offer (Bank Account AutoPay),Internet Offer (Debit Card AutoPay),"Internet Offer 
(No AutoPay / 
CC AutoPay)",Internet Base,Internet Base,Speed Price,Speed,Internet Credit,Internet Credit,Additional Internet Credit,Additional Internet Credit,"Bank Account 
AutoPay 
Credit","Bank Account 
AutoPay 
Credit",Debit Card AutoPay Credit,Debit Card AutoPay Credit,"NEF
FEE","NEF
FEE",Gift w/ Internet,Gift w/ Internet,Additional Gift with Move Transfer,Additional Gift with Move Transfer
F0019027440A00WNA050H08251,WNA,"26,27","M,P",West New Build A,50M HFC,50/5,00,-,$14.99 ,$14.99 ,$14.99 ,$0 ,!.,$14.99 ,5S,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A00WNA100S08251,WNA,"26,27","M,P",West New Build A,100M HFC,100/20,00,-,$25 ,$25 ,$25 ,$0 ,1E,$25 ,IQ,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A12WNA300H08251,WNA,"26,27","M,P",West New Build A,300M HFC,300/20,12,.6,$30 ,$35 ,$40 ,$0 ,1E,$75 ,EG,($35),YX,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WNA500H08251,WNA,"26,27","M,P",West New Build A,500M HFC,500/20,12,.6,$40 ,$45 ,$50 ,$0 ,1E,$95 ,OJ,($35),YX,($10),Q2,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A24WNA01GH08251,WNA,"26,27","M,P,F,G",West New Build A,1G HFC,940/35,24,W(,$50 ,$55 ,$60 ,$0 ,1E,$115 ,IG,($55),=D,$0 ,-,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A00WNA100F08251,WNA,"26,27","F,G",West New Build A,100M Fiber,100/100,00,-,$25 ,$25 ,$25 ,$0 ,-,$25 ,F(,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A12WNA300F08251,WNA,"26,27","F,G",West New Build A,300M Fiber,300/300,12,.6,$30 ,$35 ,$40 ,$0 ,-,$75 ,MG,($35),YX,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WNA500F08251,WNA,"26,27","F,G",West New Build A,500M Fiber,500/500,12,.6,$40 ,$45 ,$50 ,$0 ,-,$95 ,53,($35),YX,($10),Q2,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A24WNA01GF08251,WNA,"26,27","F,G",West New Build A,1G Fiber,1G/1G,24,W(,$50 ,$55 ,$60 ,$0 ,-,$115 ,F^,($55),=D,$0 ,-,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A00WNA050H08251,WNA,"26,27","A,B",West New Build A,50M HFC,50/5,00,-,$14.99 ,$14.99 ,$14.99 ,$0 ,!.,$14.99 ,5S,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A00WNA100S08251,WNA,"26,27","A,B",West New Build A,100M HFC,100/20,00,-,$25 ,$25 ,$25 ,$0 ,1E,$25 ,IQ,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A12WNA300H08251,WNA,"26,27","A,B",West New Build A,300M HFC,300/20,12,.6,$30 ,$35 ,$40 ,$0 ,1E,$75 ,EG,($35),YX,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WNA500S08251,WNA,"26,27","A,B",West New Build A,500M HFC,500/40,12,.6,$40 ,$45 ,$50 ,$0 ,1E,$95 ,FX,($35),YX,($10),Q2,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A24WNA01GS08251,WNA,"26,27","A,B",West New Build A,1G HFC,940/100,24,W(,$50 ,$55 ,$60 ,$0 ,1E,$115 ,TA,($55),=D,$0 ,-,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A00WNA050H08251,WNA,"26,27","C,E",West New Build A,50M HFC,50/5,00,-,$14.99 ,$14.99 ,$14.99 ,$0 ,!.,$14.99 ,5S,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A00WNA100S08251,WNA,"26,27","C,E",West New Build A,100M HFC,100/20,00,-,$25 ,$25 ,$25 ,$0 ,1E,$25 ,IQ,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A12WNA300M08251,WNA,"26,27","C,E",West New Build A,300M HFC_,300/20,12,.6,$30 ,$35 ,$40 ,$0 ,1E,$75 ,EG,($35),YX,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WNA500M08251,WNA,"26,27","C,E",West New Build A,500M HFC_,500/20,12,.6,$40 ,$45 ,$50 ,$0 ,1E,$95 ,OJ,($35),YX,($10),Q2,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A12WNA001H08251,WNA,"26,27","J,Q",West New Build A,1M HFC,1/256,12,.6,$30 ,$35 ,$40 ,$0 ,1E,$55 ,IX,($15),F!,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WNA003H08251,WNA,"26,27","J,Q",West New Build A,3M HFC,3/512,12,.6,$30 ,$35 ,$40 ,$0 ,1E,$55 ,@Z,($15),F!,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WNA015H08251,WNA,"26,27","J,Q",West New Build A,15M HFC,15/1.5,12,.6,$30 ,$35 ,$40 ,$0 ,1E,$55 ,B#,($15),F!,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WNA030H08251,WNA,"26,27","J,Q",West New Build A,30M HFC,30/3,12,.6,$40 ,$45 ,$50 ,$0 ,1E,$65 ,2I,($15),F!,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A00WNB050H08251,WNB,"28,29","M,P,F,G",West New Build B,50M HFC,50/5,00,-,$14.99 ,$14.99 ,$14.99 ,$0 ,!.,$14.99 ,5S,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A00WNB100S08251,WNB,"28,29","M,P,F,G",West New Build B,100M HFC,100/20,00,-,$25 ,$25 ,$25 ,$0 ,1E,$25 ,IQ,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A12WNB300H08251,WNB,"28,29","M,P,F,G",West New Build B,300M HFC,300/20,12,.6,$25 ,$30 ,$35 ,$0 ,1E,$75 ,EG,($35),YX,($5),Q.,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WNB500H08251,WNB,"28,29","M,P,F,G",West New Build B,500M HFC,500/20,12,.6,$35 ,$40 ,$45 ,$0 ,1E,$95 ,OJ,($35),YX,($15),F!,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A24WNB01GH08251,WNB,"28,29","M,P,F,G",West New Build B,1G HFC,940/35,24,W(,$45 ,$50 ,$55 ,$0 ,1E,$115 ,IG,($55),=D,($5),Q.,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A00WNB100F08251,WNB,"28,29","F,G",West New Build B,100M Fiber,100/100,00,-,$25 ,$25 ,$25 ,$0 ,-,$25 ,F(,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A12WNB300F08251,WNB,"28,29","F,G",West New Build B,300M Fiber,300/300,12,.6,$25 ,$30 ,$35 ,$0 ,-,$75 ,MG,($35),YX,($5),Q.,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WNB500F08251,WNB,"28,29","F,G",West New Build B,500M Fiber,500/500,12,.6,$35 ,$40 ,$45 ,$0 ,-,$95 ,53,($35),YX,($15),F!,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A24WNB01GF08251,WNB,"28,29","F,G",West New Build B,1G Fiber,1G/1G,24,W(,$45 ,$50 ,$55 ,$0 ,-,$115 ,F^,($55),=D,($5),Q.,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A00WNB050H08251,WNB,"28,29","A,B",West New Build B,50M HFC,50/5,00,-,$14.99 ,$14.99 ,$14.99 ,$0 ,!.,$14.99 ,5S,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
