,Segment,Clusters,"Market
Type","Market Area 
(Segments in Grey are for possible future use)",Offer,Speed,Term,Tracker,Mobile Tracker,"3P 
Bundle Price
(Entertainment TV)","3P 
Bundle Price
(Extra TV)","3P 
Bundle Price
(Everything TV)",3P Bundle Price (Basic) No Bundle Discount,3P Core,"3P 
Bundle Price
(Value)","3P 
Bundle Price
(Select)","3P 
Bundle Price
(Premier)",Internet Price,Internet Base,Internet Base,Speed Price,Speed,Internet Credit,Internet Credit,Additional Internet Credit,Additional Internet Credit,"Bank Account 
AutoPay 
Credit","Bank Account 
AutoPay 
Credit",Debit Card AutoPay Credit,Debit Card AutoPay Credit,"NEF
FEE","NEF
FEE","Gift w/ 3P Bundle
Internet 500M/T3 
& Above","Gift w/ 3P Bundle
Internet 500M/T3 
& Above",Gift w/ Video Tiers,Additional Gift with Move Transfer,Additional Gift with Move Transfer,Video Bundle Credit,Video Bundle Credit,"Video Add On 
Tracker - 12mo.",Entertainment TV,"Entertainment TV
Rate Code",Extra TV,"Extra TV 
Rate Code",Extra TV Credit,"Extra TV 
Credit Code","Everything 
TV","Everything 
TV
Rate Code","Everything
TV
Credit","Everything 
TV
Credit Code","Basic
Video ","Basic
Video 
Rate Code","Basic Video 
Credit","Basic 
Video 
Credit Code","Core
Video","Core
Video","Core
Video Credit","Core
Video Credit","Value
Video","Value
Video","Value
Video Credit","Value
Video Credit",Select Video,Select Video,Select Video Credit,Select Video Credit,Premier Video,Premier Video,Premier Video Credit,Premier Video Credit,"Mobile 
Offer 
Pricing","Mobile 
Unlimited 
Price","Mobile 
Credit","Mobile 
Credit 
Code",Mobile Coupon Credit,"Mobile 
Coupon 
Code"
,WNA,"26,27","M,P,G",West New Build A,50M HFC OAI + Video + Mobile,50/5,00,-,-,$69.99,-,-,$89.99,-,-,-,-,$14.99 ,$0 ,!.,$15 ,5S,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,See Gift Incentives Tab,-,-,$0 ,-,V^,$30 ,Q+,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$53 ,YB,($3),.-,$0 ,-,-,-,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$25 ,$45 ,$0 ,-,($20),ONEFOR25
,WNA,"26,27","M,P,G",West New Build A,100M HFC + Video + Mobile,100/20,00,-,.!,$65,-,-,$85,-,-,-,-,$25 ,$0 ,1E,$25 ,IQ,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,See Gift Incentives Tab,-,-,$0 ,-,V^,$30 ,Q+,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$53 ,YB,($3),.-,$0 ,-,-,-,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$10 ,$45 ,($15),7#,($20),ONEFOR25
,WNA,"26,27","M,P,G",West New Build A,300M HFC + Video + Mobile,300/20,12,.6,-,$80,$135,$190,$105,$195,$155,$175,$195,$30 ,$0 ,1E,$75 ,EG,($35),YX,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,See Gift Incentives Tab,$100 Snappy Gift of Choice,!L,($5),U5,V^,$30 ,Q+,$120 ,2Q,($35),=-,$160 ,40,($20),+7,$53 ,YB,($3),.-,$140 ,YC,-,-,$145 ,YV,($40),D-,$160 ,YS,($35),=-,$180 ,YP,($35),=-,$25 ,$45 ,$0 ,-,($20),ONEFOR25
,WNA,"26,27","M,P,G",West New Build A,500M HFC + Video + Mobile,500/20,12,.6,-,$65,$120,$175,$90,$180,$140,$160,$180,$40 ,$0 ,1E,$95 ,OJ,($35),YX,($10),Q2,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,See Gift Incentives Tab,$100 Snappy Gift of Choice,!L,($5),U5,V^,$30 ,Q+,$120 ,2Q,($35),=-,$160 ,40,($20),+7,$53 ,YB,($3),.-,$140 ,YC,-,-,$145 ,YV,($40),D-,$160 ,YS,($35),=-,$180 ,YP,($35),=-,$0 ,$45 ,$0 ,-,($45),HEYITSFREE 
,WNA,"26,27","M,P,G",West New Build A,1G HFC + Video + Mobile,940/35,24,W(,-,$75,$130,$185,$100,$190,$150,$170,$190,$50 ,$0 ,1E,$115 ,IG,($55),=D,$0 ,-,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,See Gift Incentives Tab,$100 Snappy Gift of Choice,!L,($5),U5,V^,$30 ,Q+,$120 ,2Q,($35),=-,$160 ,40,($20),+7,$53 ,YB,($3),.-,$140 ,YC,-,-,$145 ,YV,($40),D-,$160 ,YS,($35),=-,$180 ,YP,($35),=-,$0 ,$45 ,$0 ,-,($45),HEYITSFREE 
,WNA,"26,27","F,G",West New Build A,100M Fiber + Video + Mobile,100/20,00,-,.!,$65,-,-,$85,-,-,-,-,$25 ,$0 ,-,$25 ,F(,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,See Gift Incentives Tab,-,-,$0 ,-,V^,$30 ,Q+,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$53 ,YB,($3),.-,$0 ,-,-,-,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$10 ,$45 ,($15),7#,($20),ONEFOR25
,WNA,"26,27","F,G",West New Build A,300M Fiber + Video + Mobile,300/300,12,.6,-,$80,$135,$190,$105,$195,$155,$175,$195,$30 ,$0 ,-,$75 ,MG,($35),YX,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,See Gift Incentives Tab,$100 Snappy Gift of Choice,!L,($5),U5,V^,$30 ,Q+,$120 ,2Q,($35),=-,$160 ,40,($20),+7,$53 ,YB,($3),.-,$140 ,YC,-,-,$145 ,YV,($40),D-,$160 ,YS,($35),=-,$180 ,YP,($35),=-,$25 ,$45 ,$0 ,-,($20),ONEFOR25
,WNA,"26,27","F,G",West New Build A,500M Fiber + Video + Mobile,500/500,12,.6,-,$65,$120,$175,$90,$180,$140,$160,$180,$40 ,$0 ,-,$95 ,53,($35),YX,($10),Q2,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,See Gift Incentives Tab,$100 Snappy Gift of Choice,!L,($5),U5,V^,$30 ,Q+,$120 ,2Q,($35),=-,$160 ,40,($20),+7,$53 ,YB,($3),.-,$140 ,YC,-,-,$145 ,YV,($40),D-,$160 ,YS,($35),=-,$180 ,YP,($35),=-,$0 ,$45 ,$0 ,-,($45),HEYITSFREE 
,WNA,"26,27","F,G",West New Build A,1G Fiber + Video + Mobile,1G/1G,24,W(,-,$75,$130,$185,$100,$190,$150,$170,$190,$50 ,$0 ,-,$115 ,F^,($55),=D,$0 ,-,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,See Gift Incentives Tab,$100 Snappy Gift of Choice,!L,($5),U5,V^,$30 ,Q+,$120 ,2Q,($35),=-,$160 ,40,($20),+7,$53 ,YB,($3),.-,$140 ,YC,-,-,$145 ,YV,($40),D-,$160 ,YS,($35),=-,$180 ,YP,($35),=-,$0 ,$45 ,$0 ,-,($45),HEYITSFREE 
,WNA,"26,27","A,B",West New Build A,50M HFC OAI + Video + Mobile,50/5,00,-,-,$69.99,-,-,$89.99,-,-,-,-,$14.99 ,$0 ,!.,$15 ,5S,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,See Gift Incentives Tab,-,-,$0 ,-,V^,$30 ,Q+,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$53 ,YB,($3),.-,$0 ,-,-,-,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$25 ,$45 ,$0 ,-,($20),ONEFOR25
